ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
EP/MODE1/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE1/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE1/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,         1136
EP/MODE1/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          922
EP/MODE1/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           95
EP/MODE1/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          190
EP/MODE1/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          190
EP/MODE1/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,           24
EP/MODE1/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,           20
EP/MODE1/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           55
EP/MODE1/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           48
EP/MODE1/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            6
EP/MODE1/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          922
EP/MODE1/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,        13762
EP/MODE1/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          910
EP/MODE1/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE1/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        25.00
EP/MODE1/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        15.00
EP/MODE1/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE1/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE1/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        10.00
EP/MODE1/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         2.70
EP/MODE1/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         9.47
EP/MODE1/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE1/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE1/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE1/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE1/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A,  Mode2-Abs_2
EP/MODE2/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE2/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE2/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            1
EP/MODE2/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE2/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE2/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE2/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE2/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE2/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,         2841
EP/MODE2/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         1932
EP/MODE2/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          237
EP/MODE2/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          474
EP/MODE2/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          474
EP/MODE2/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,           60
EP/MODE2/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,           20
EP/MODE2/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          197
EP/MODE2/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          171
EP/MODE2/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            8
EP/MODE2/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         1932
EP/MODE2/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,        34406
EP/MODE2/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         1908
EP/MODE2/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE2/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        25.00
EP/MODE2/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        15.00
EP/MODE2/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE2/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE2/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        20.00
EP/MODE2/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         6.60
EP/MODE2/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        20.44
EP/MODE2/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE2/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE2/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE2/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE1/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A,  Mode3-Abs_3
EP/MODE3/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE3/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE3/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            2
EP/MODE3/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE3/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE3/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE3/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE3/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE3/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,         6818
EP/MODE3/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         4420
EP/MODE3/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          568
EP/MODE3/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1136
EP/MODE3/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1136
EP/MODE3/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,          142
EP/MODE3/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,           20
EP/MODE3/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          528
EP/MODE3/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          459
EP/MODE3/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           10
EP/MODE3/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         4420
EP/MODE3/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,        58163
EP/MODE3/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         4360
EP/MODE3/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE3/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        25.00
EP/MODE3/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        15.00
EP/MODE3/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
