ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
EP/MODE7/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          685
EP/MODE7/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           25
EP/MODE7/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           30
EP/MODE7/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           30
EP/MODE7/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,            7
EP/MODE7/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,            2
EP/MODE7/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          425
EP/MODE7/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          400
EP/MODE7/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            9
EP/MODE7/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          265
EP/MODE7/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,         4014
EP/MODE7/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          261
EP/MODE7/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE7/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE7/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE7/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE7/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE7/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         3.20
EP/MODE7/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         0.50
EP/MODE7/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         2.42
EP/MODE7/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE7/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE7/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE7/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE7/AKF_CHPK_N1          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           10
EP/MODE7/AKF_CHPK_N2          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           20
EP/MODE7/AKF_CHPK_N3          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           30
EP/MODE7/AKF_CHPK_N4          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           40
EP/MODE7/AKF_CHPK_N5          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          160
EP/MODE7/AKF_CHPK_N6          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          240
EP/MODE7/AKF_CHPK_M           :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           25
EP/MODE7/CHPK_MAX_FREQ        :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          800
EP/MODE7/AKF_CHPK_T1          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          239
EP/MODE7/AKF_CHPK_T2          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          119
EP/MODE8/AKF_CHPK_T3          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           39
EP/MODE7/CHPK_HYP_RELIAB      :    RWA,   FLOAT,    1,    0.00,         10.00,   1.00,         0.05
EP/MODE7/AKF_CHPK_N7          :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          360
EP/MODE7/AKF_CHPK_N8          :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          400
EP/MODE7/AKF_CHPK_M2          :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,           65
EP/MODE7/GZI_P2               :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,          783
EP/MODE8/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A, Mode8-Chpk_1
EP/MODE8/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE8/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE8/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE8/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE8/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE8/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE8/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE8/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE8/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,          907
EP/MODE8/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          908
EP/MODE8/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           76
EP/MODE8/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          114
EP/MODE8/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          114
EP/MODE8/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,           19
EP/MODE8/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,            2
EP/MODE8/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          516
EP/MODE8/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,          440
EP/MODE8/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           10
EP/MODE8/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          472
EP/MODE8/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,        10895
EP/MODE8/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,          464
EP/MODE8/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE8/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE8/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE8/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE8/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE8/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         4.30
EP/MODE8/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         1.60
EP/MODE8/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         4.04
EP/MODE8/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE8/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE8/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE8/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE8/AKF_CHPK_N1_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           36
EP/MODE8/AKF_CHPK_N2_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          360
EP/MODE8/AKF_CHPK_N3_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           44
EP/MODE8/AKF_CHPK_N4_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          396
EP/MODE8/AKF_CHPK_N5_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          404
EP/MODE8/AKF_CHPK_N6_7        :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          440
EP/MODE8/AKF_CHPK_M           :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,           76
EP/MODE8/CHPK_MAX_FREQ        :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         1500
EP/MODE8/AKF_CHPK_T1          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,          396
EP/MODE8/AKF_CHPK_T2          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,            0
EP/MODE8/AKF_CHPK_T3          :    RWA,  UINT16,    1,    0.00,       2047.00,   1.00,            0
EP/MODE8/CHPK_HYP_RELIAB      :    RWA,   FLOAT,    1,    0.00,         10.00,   1.00,         0.05
EP/MODE8/AKF_CHPK_N7          :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
EP/MODE8/AKF_CHPK_N8          :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,            0
